1000 outputs of genrand_int32()
1067595299  955945823  477289528 4107218783 4228976476 
3344332714 3355579695  227628506  810200273 2591290167 
2560260675 3242736208  646746669 1479517882 4245472273 
1143372638 3863670494 3221021970 1773610557 1138697238 
1421897700 1269916527 2859934041 1764463362 3874892047 
3965319921   72549643 2383988930 2600218693 3237492380 
2792901476  725331109  605841842  271258942  715137098 
3297999536 1322965544 4229579109 1395091102 3735697720 
2101727825 3730287744 2950434330 1661921839 2895579582 
2370511479 1004092106 2247096681 2111242379 3237345263 
4082424759  219785033 2454039889 3709582971  835606218 
2411949883 2735205030  756421180 2175209704 1873865952 
2762534237 4161807854 3351099340  181129879 3269891896 
 776029799 2218161979 3001745796 1866825872 2133627728 
  34862734 1191934573 3102311354 2916517763 1012402762 
2184831317 4257399449 2899497138 3818095062 3030756734 
1282161629  420003642 2326421477 2741455717 1278020671 
3744179621  271777016 2626330018 2560563991 3055977700 
4233527566 1228397661 3595579322 1077915006 2395931898 
1851927286 3013683506 1999971931 3006888962 1049781534 
1488758959 3491776230  104418065 2448267297 3075614115 
3872332600  891912190 3936547759 2269180963 2633455084 
1047636807 2604612377 2709305729 1952216715  207593580 
2849898034  670771757 2210471108  467711165  263046873 
3569667915 1042291111 3863517079 1464270005 2758321352 
3790799816 2301278724 3106281430    7974801 2792461636 
 555991332  621766759 1322453093  853629228  686962251 
1455120532  957753161 1802033300 1021534190 3486047311 
1902128914 3701138056 4176424663 1795608698  560858864 
3737752754 3141170998 1553553385 3367807274  711546358 
2475125503  262969859  251416325 2980076994 1806565895 
 969527843 3529327173 2736343040 2987196734 1649016367 
2206175811 3048174801 3662503553 3138851612 2660143804 
1663017612 1816683231  411916003 3887461314 2347044079 
1015311755 1203592432 2170947766 2569420716  813872093 
1105387678 1431142475  220570551 4243632715 4179591855 
2607469131 3090613241  282341803 1734241730 1391822177 
1001254810  827927915 1886687171 3935097347 2631788714 
3905163266  110554195 2447955646 3717202975 3304793075 
3739614479 3059127468  953919171 2590123714 1132511021 
3795593679 2788030429  982155079 3472349556  859942552 
2681007391 2299624053  647443547  233600422  608168955 
3689327453 1849778220 1608438222 3968158357 2692977776 
2851872572  246750393 3582818628 3329652309 4036366910 
1012970930  950780808 3959768744 2538550045  191422718 
2658142375 3276369011 2927737484 1234200027 1920815603 
3536074689 1535612501 2184142071 3276955054  428488088 
2378411984 4059769550 3913744741 2732139246   64369859 
3755670074  842839565 2819894466 2414718973 1010060670 
1839715346 2410311136  152774329 3485009480 4102101512 
2852724304  879944024 1785007662 2748284463 1354768064 
3267784736 2269127717 3001240761 3179796763  895723219 
 865924942 4291570937   89355264 1471026971 4114180745 
3201939751 2867476999 2460866060 3603874571 2238880432 
3308416168 2072246611 2755653839 3773737248 1709066580 
4282731467 2746170170 2832568330  433439009 3175778732 
  26248366 2551382801  183214346 3893339516 1928168445 
1337157619 3429096554 3275170900 1782047316 4264403756 
1876594403 4289659572 3223834894 1728705513 4068244734 
2867840287 1147798696  302879820 1730407747 1923824407 
1180597908 1569786639  198796327  560793173 2107345620 
2705990316 3448772106 3678374155  758635715  884524671 
 486356516 1774865603 3881226226 2635213607 1181121587 
1508809820 3178988241 1594193633 1235154121  326117244 
2304031425  937054774 2687415945 3192389340 2003740439 
1823766188 2759543402   10067710 1533252662 4132494984 
  82378136  420615890 3467563163  541562091 3535949864 
2277319197 3330822853 3215654174 4113831979 4204996991 
2162248333 3255093522 2219088909 2978279037  255818579 
2859348628 3097280311 2569721123 1861951120 2907080079 
2719467166  998319094 2521935127 2404125338  259456032 
2086860995 1839848496 1893547357 2527997525 1489393124 
2860855349   76448234 2264934035  744914583 2586791259 
1385380501   66529922 1819103258 1899300332 2098173828 
1793831094  276463159  360132945 4178212058  595015228 
 177071838 2800080290 1573557746 1548998935  378454223 
1460534296 1116274283 3112385063 3709761796  827999348 
3580042847 1913901014  614021289 4278528023 1905177404 
  45407939 3298183234 1184848810 3644926330 3923635459 
1627046213 3677876759  969772772 1160524753 1522441192 
 452369933 1527502551  832490847 1003299676 1071381111 
2891255476  973747308 4086897108 1847554542 3895651598 
2227820339 1621250941 2881344691 3583565821 3510404498 
 849362119  862871471  797858058 2867774932 2821282612 
3272403146 3997979905  209178708 1805135652    6783381 
2823361423  792580494 4263749770  776439581 3798193823 
2853444094 2729507474 1071873341 1329010206 1289336450 
3327680758 2011491779   80157208  922428856 1158943220 
1667230961 2461022820 2608845159  387516115 3345351910 
1495629111 4098154157 3156649613 3525698599 4134908037 
 446713264 2137537399 3617403512  813966752 1157943946 
3734692965 1680301658 3180398473 3509854711 2228114612 
1008102291  486805123  863791847 3189125290 1050308116 
3777341526 4291726501  844061465 1347461791 2826481581 
 745465012 2055805750 4260209475 2386693097 2980646741 
 447229436 2077782664 1232942813 4023002732 1399011509 
3140569849 2579909222 3794857471  900758066 2887199683 
1720257997 3367494931 2668921229  955539029 3818726432 
1105704962 3889207255 2277369307 2746484505 1761846513 
2413916784 2685127085 4240257943 1166726899 4215215715 
